SMILES,HeavyAtoms,NumBonds,NumRings,MW
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c2c(c(N2CCCC2)cc4c2ccc4c5c(c6[nH]c(-c7ccccc7)nc6c3c52)C(=O)N(C(CCCCCC)CCCCCC)C4=O)C1=O,70,79,10,940.285999999999
CCCCN1C(=O)c2cc(Oc3ccccc3)c3c4c(Oc5ccccc5)cc5c6c(cc(Oc7ccccc7)c(c7c(Oc8ccccc8)cc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O,66,76,11,870.9580000000003
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(cc(O)c(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,55,63,9,726.8730000000002
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccccc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,60,69,10,786.9720000000001
O=C(O)CCC(CCC(=O)O)(CCC(=O)O)NC(=O)CCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCC(=O)NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O)C5=O,78,84,7,1077.1059999999998
CCCCN1C(=O)c2ccc3c4c(N5CCOCC5)cc5c6c(cc(N7CCOCC7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O,50,58,9,672.7819999999999
C#Cc1ccc(N2C(=O)c3ccc4c5c(Oc6ccc(C(C)(C)CC(C)(C)C)cc6)cc6c7c(ccc(c8c(Oc9ccc(C(C)(C)CC(C)(C)C)cc9)cc(c3c48)C2=O)c75)C(=O)N(c2ccc(C#C)cc2)C6=O)cc1,76,86,11,999.2199999999997
CC(C)(C)c1cc(Oc2cc3c4c(ccc5c6c(Oc7cc(C(C)(C)C)cc(C(C)(C)C)c7)cc7c8c(ccc(c2c45)c86)C(=O)NC7=O)C(=O)NC3=O)cc(C(C)(C)C)c1,60,68,9,798.9799999999998
CC(CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(C)N(C)C)C5=O)N(C)C,42,48,7,560.6540000000002
CCCCCCc1cc2c3cc(CCCCCC)c4c5c(c(CCCCCC)cc(c6cc(CCCCCC)c7c(c1C(=O)N(C(CC)CC)C7=O)c26)c53)C(=O)N(C(CC)CC)C4=O,64,70,7,867.2719999999994
CCC(CC)N1C(=O)c2c(CCC3CCCCC3)cc3c4cc(CCC5CCCCC5)c5c6c(c(CCC7CCCCC7)cc(c7cc(CCC8CCCCC8)c(c2c37)C1=O)c64)C(=O)N(C(CC)CC)C5=O,72,82,11,971.4239999999991
O=C1c2ccc3c4c5cc6c7c(ccc(c8c(cc(c2c38)C(=O)N1C1CCCCC1)Oc1cccc(c1)OCCOCCOc1cccc(c1)O5)c74)C(=O)N(C1CCCCC1)C6=O,63,74,13,840.9290000000002
CC(C)(C)c1ccc(Oc2cc3c4c(ccc5c6c(Oc7ccc(C(C)(C)C)cc7)cc7c8c(ccc(c2c45)c86)C(=O)N(CCO)C7=O)C(=O)N(CCO)C3=O)cc1,58,66,9,774.8699999999999
CCCCN1C(=O)c2ccc3c4c(N5CCCCC5)cc5c6c(ccc(c7c(N8CCCCC8)cc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O,50,58,9,668.8379999999997
CC(C)C(C(C)C)N1C(=O)c2ccc3c4ccc5c6c(cc(C#Cc7ccccc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(C(C)C)C(C)C)C5=O,52,59,8,686.8520000000002
CC(C)c1cccc(C(C)C)c1Oc1cc2c3c(ccc4c5c(Oc6c(C(C)C)cccc6C(C)C)cc6c7c(ccc(c1c34)c75)C(=O)N(C1CCCCC1)C6=O)C(=O)N(C1CCCCC1)C2=O,68,78,11,907.1639999999996
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(cc(O)c(c7c(O)cc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,56,64,9,742.8720000000002
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4c(-n5cnc6ccccc65)cc5c6c(cc(O)c(c7c(O)cc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,65,75,11,858.9950000000001
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1cccnc1)c64)C(=O)N(c1cccnc1)C5=O,42,50,9,544.5260000000003
O=C1c2ccc3c4ccc5c6c(cc([N+](=O)[O-])c(c7ccc(c2c37)C(=O)N1C1CCCCC1)c64)C(=O)N(C1CCCCC1)C5=O,45,53,9,599.6430000000004
CCCCN1C(=O)c2ccc3c4c(Oc5ccccc5)cc5c6c(ccc(c7c(Oc8ccccc8)cc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O,52,60,9,686.7640000000005
CCC(CC)N1C(=O)c2ccc3c4c([N+](=O)[O-])cc5c6c(ccc(c7c(-c8ccc(C=O)cc8)cc(c2c37)C1=O)c64)C(=O)N(C(CC)CC)C5=O,51,58,8,679.7290000000004
CCC(CC)N1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc(C=O)cc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CC)CC)C5=O,48,55,8,634.7320000000004
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc(C=O)cc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,62,71,10,814.9820000000001
