SMILES,Reason
C1COCCN1C(CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CC(C6=CC=CC=N6)N7CCOCC7)C2=O)C8=CC=CC=N8,PDI core not found
C1COCCN1C2=CC=C(C=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=C(C=C7)N8CCOCC8)C3=O,PDI core not found
COC1=CC=CC2=C1OC(=O)C(=C2)C3=CSC(=N3)N4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)C8=NC(=CS8)C9=CC1=C(C(=CC=C1)OC)OC9=O)C4=O,PDI core not found
C=CCCC=CC1=C(C2=C(C=C1)OC(=O)C(=C2)C3=CSC(=N3)N4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)C8=NC(=CS8)C9=CC1=C(C=CC(=C1C=CCCC=C)C=CCCC=C)OC9=O)C4=O)C=CCCC=C,PDI core not found
C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)N4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)C8=NC(=CS8)C9=CC1=CC=CC=C1OC9=O)C4=O,PDI core not found
COC(CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC(OC)OO)C1=O)OO,PDI core not found
C1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC=C6)C2=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)C5=NC=CS5)C(=O)N(C2=O)C6=NC=CS6,PDI core not found
CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C)C1=O,PDI core not found
C1=CC=C(C=C1)CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCC6=CC=CC=C6)C2=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CC(=O)O)C(=O)N(C2=O)CC(=O)O,PDI core not found
CC(CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC(C)O)C1=O)O,PDI core not found
CCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCCCC)C1=O,PDI core not found
C1=CC=NC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC=N6)C2=O,PDI core not found
COC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)OC)C2=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)C5=CC=NC=C5)C(=O)N(C2=O)C6=CC=NC=C6,PDI core not found
C1=CC=C(C=C1)CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CC6=CC=CC=C6)C2=O,PDI core not found
CC[N+]1(CCCCC1)C2=CC=C(C=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=C(C=C7)[N+]8(CCCCC8)CC)C3=O,PDI core not found
C#CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC#C)C1=O,PDI core not found
CC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)C)C2=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCC)C1=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCN5C=CN=C5)C(=O)N(C2=O)CCCN6C=CN=C6,PDI core not found
C1=CC(=CN=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CN=CC=C6)C2=O,PDI core not found
CCCCCCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCCCCCCCC)C1=O,PDI core not found
