SMILES,Reason
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=N3)C7=CC=CS7,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=N3)C7=CC=CC=C7,NDI core not found
C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C,NDI core not found
CCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C4=C(C5=C2C6=CC=CC=C65)C(=O)N(C(=O)C4=C7C8=CC=CC=C8C7=C3C1=O)CC(CCCCCCCC)CCCCCCCC,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=CC#N)S3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C(=C7SC8=C9C2=C4C(=C5C(=C2C(=O)N(C9=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S5)C(=O)N(C(=O)C4=C8S7)CC(CCCCCCCC)CCCCCCCCCC)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)SC(=C(C#N)C(=C6SC7=C8C9=C(C=CC1=C9C(=C7S6)C(=O)N(C1=O)CCCCCCCC)C(=O)N(C8=O)CCCCCCCC)C#N)S5)CCCCCCCC,NDI core not found
CCCCCCCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)SC(=CC#N)S5)CCCCCCCC,NDI core not found
CCCCCCCC(CCCCCCC)N1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C6=CC7=C8C(=CC9=C2C8=C6C4=C6C2=C(C=C2C6=C(C=C4C5=C3C1=O)C(=NC2=O)O)C1=C2C3=C(C=CC4=C3C(=C91)C(=O)N(C4=O)C(CCCCCCC)CCCCCCC)C(=O)N(C2=O)C(CCCCCCC)CCCCCCC)C(=O)N=C7O)C(CCCCCCC)CCCCCCC,NDI core not found
CCCCCCCCCCCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C6=CC7=C8C(=CC9=C2C8=C6C4=C6C2=C(C=C2C6=C(C=C4C5=C3C1=O)C(=NC2=O)O)C1=C2C3=C(C=CC4=C3C(=C91)C(=O)N(C4=O)CCCCCCCCCCCC)C(=O)N(C2=O)CCCCCCCCCCCC)C(=O)N=C7O)CCCCCCCCCCCC,NDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)[N+](=C5C=CNC=C5)C4=O)C(=O)[N+](=C6C=CNC=C6)C2=O,NDI core not found
CCN1C=CC(=[N+]2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)[N+](=C6C=CN(C=C6)CC)C5=O)C2=O)C=C1,NDI core not found
